transaction_id,date,region,status,amount,currency
current_revenue-future_q4_2026-001,2026-10-01,Atrium,posted,500.13,EUR
current_revenue-future_q4_2026-002,2026-12-31,Atrium,posted,500.12,EUR
current_revenue-future_q4_2026-003,2026-10-01,Briar,posted,750.25,EUR
current_revenue-future_q4_2026-004,2026-12-31,Briar,posted,750.25,EUR
current_revenue-future_q4_2026-005,2026-10-01,Dune Canary,posted,25.13,EUR
current_revenue-future_q4_2026-006,2026-12-31,Dune Canary,posted,25.12,EUR
current_revenue-future_q4_2026-007,2025-10-01,Atrium,posted,500.00,EUR
current_revenue-future_q4_2026-008,2025-12-31,Atrium,posted,500.00,EUR
current_revenue-future_q4_2026-009,2025-10-01,Briar,posted,250.00,EUR
current_revenue-future_q4_2026-010,2025-12-31,Briar,posted,250.00,EUR
current_revenue-future_q4_2026-011,2025-10-01,Cypress,posted,50.00,EUR
current_revenue-future_q4_2026-012,2025-12-31,Cypress,posted,50.00,EUR
current_revenue-future_q4_2026-013,2026-10-01,Atrium,cancelled,999999.99,EUR
current_revenue-future_q4_2026-014,2025-10-01,Dune Canary,cancelled,888888.88,EUR
current_revenue-future_q4_2026-015,2027-01-01,Atrium,posted,777777.77,EUR
current_revenue-future_q4_2026-016,2026-01-01,Dune Canary,posted,666666.66,EUR
