transaction_id,date,region,status,amount,currency
absolute_change-future_q4_2026-001,2026-10-01,Harbor,posted,950.05,EUR
absolute_change-future_q4_2026-002,2026-12-31,Harbor,posted,950.05,EUR
absolute_change-future_q4_2026-003,2026-10-01,Juniper,posted,450.10,EUR
absolute_change-future_q4_2026-004,2026-12-31,Juniper,posted,450.10,EUR
absolute_change-future_q4_2026-005,2026-10-01,Larch,posted,130.15,EUR
absolute_change-future_q4_2026-006,2026-12-31,Larch,posted,130.15,EUR
absolute_change-future_q4_2026-007,2026-10-01,Orchard Canary,posted,500.20,EUR
absolute_change-future_q4_2026-008,2026-12-31,Orchard Canary,posted,500.20,EUR
absolute_change-future_q4_2026-009,2025-10-01,Harbor,posted,1000.00,EUR
absolute_change-future_q4_2026-010,2025-12-31,Harbor,posted,1000.00,EUR
absolute_change-future_q4_2026-011,2025-10-01,Juniper,posted,450.00,EUR
absolute_change-future_q4_2026-012,2025-12-31,Juniper,posted,450.00,EUR
absolute_change-future_q4_2026-013,2025-10-01,Larch,posted,80.00,EUR
absolute_change-future_q4_2026-014,2025-12-31,Larch,posted,80.00,EUR
absolute_change-future_q4_2026-015,2026-10-01,Harbor,cancelled,999999.99,EUR
absolute_change-future_q4_2026-016,2025-10-01,Orchard Canary,cancelled,888888.88,EUR
absolute_change-future_q4_2026-017,2027-01-01,Harbor,posted,777777.77,EUR
absolute_change-future_q4_2026-018,2026-01-01,Orchard Canary,posted,666666.66,EUR
