transaction_id,date,region,status,amount,currency
percentage_change-history_q3_2025-001,2025-07-01,Maple,posted,200.00,EUR
percentage_change-history_q3_2025-002,2025-09-30,Maple,posted,200.00,EUR
percentage_change-history_q3_2025-003,2025-07-01,Quartz,posted,50.00,EUR
percentage_change-history_q3_2025-004,2025-09-30,Quartz,posted,50.00,EUR
percentage_change-history_q3_2025-005,2025-07-01,Willow,posted,15.00,EUR
percentage_change-history_q3_2025-006,2025-09-30,Willow,posted,15.00,EUR
percentage_change-history_q3_2025-007,2024-07-01,Maple,posted,100.00,EUR
percentage_change-history_q3_2025-008,2024-09-30,Maple,posted,100.00,EUR
percentage_change-history_q3_2025-009,2024-07-01,Quartz,posted,40.00,EUR
percentage_change-history_q3_2025-010,2024-09-30,Quartz,posted,40.00,EUR
percentage_change-history_q3_2025-011,2024-07-01,Willow,posted,10.00,EUR
percentage_change-history_q3_2025-012,2024-09-30,Willow,posted,10.00,EUR
percentage_change-history_q3_2025-013,2025-07-01,Maple,cancelled,999999.99,EUR
percentage_change-history_q3_2025-014,2024-07-01,Willow,cancelled,888888.88,EUR
percentage_change-history_q3_2025-015,2025-10-01,Maple,posted,777777.77,EUR
percentage_change-history_q3_2025-016,2024-10-01,Willow,posted,666666.66,EUR
