transaction_id,date,region,status,amount,currency
percentage_change-future_q1_2026-001,2026-01-01,Maple,posted,400.00,EUR
percentage_change-future_q1_2026-002,2026-03-31,Maple,posted,400.00,EUR
percentage_change-future_q1_2026-003,2026-01-01,Quartz,posted,150.00,EUR
percentage_change-future_q1_2026-004,2026-03-31,Quartz,posted,150.00,EUR
percentage_change-future_q1_2026-005,2026-01-01,Willow,posted,5.00,EUR
percentage_change-future_q1_2026-006,2026-03-31,Willow,posted,5.00,EUR
percentage_change-future_q1_2026-007,2025-01-01,Maple,posted,500.00,EUR
percentage_change-future_q1_2026-008,2025-03-31,Maple,posted,500.00,EUR
percentage_change-future_q1_2026-009,2025-01-01,Quartz,posted,200.00,EUR
percentage_change-future_q1_2026-010,2025-03-31,Quartz,posted,200.00,EUR
percentage_change-future_q1_2026-011,2025-01-01,Willow,posted,50.00,EUR
percentage_change-future_q1_2026-012,2025-03-31,Willow,posted,50.00,EUR
percentage_change-future_q1_2026-013,2026-01-01,Maple,cancelled,999999.99,EUR
percentage_change-future_q1_2026-014,2025-01-01,Willow,cancelled,888888.88,EUR
percentage_change-future_q1_2026-015,2026-04-01,Maple,posted,777777.77,EUR
percentage_change-future_q1_2026-016,2025-04-01,Willow,posted,666666.66,EUR
